feature,mean_abs_shap
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,0.08790085
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,0.03102357
d-band_center_of_M1,0.028674312
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,0.026219897
Atomic_Weight_of_N,0.012572382
Average_electronegativity_of_M1_and_N,0.012377393
Limited_specific_capacity(mAh/g),0.011508248
Current_density(mA/g),0.010426573
Current_density(mA/g).1,0.009002891
Limited_specific_capacity(mAh/g).1,0.006280278
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,0.0034224943
Electron_Affinity_of_M2,0.0032891612
VanDer_Waals_Radius_of_M1,0.0032075676
Atomic_Weight_of_M1,0.0029981667
Difference_in_the_First_ionization_energy_of_metals,0.0025785195
Electron_Affinity_of_N,0.002201369
Covalent_Radius_of_M2,0.002162342
Average_electronegativity_of_active_site_(M1-M2-N),0.0020838073
Average_electronegativity_of_M2_and_N,0.0019645705
Average_d-electron_number_of_M1_and_M2,0.001894803
d-electron_number_of_M1,0.0018157677
Difference_in_the_d-electron_number_of_M1_and_M2,0.0017241043
Electrical_Conductivity_of_M1,0.0016656081
Difference_in_the_electronegativity_of_M1_and_M2,0.0016333727
First_ionization_energy_of_M1,0.0014095515
Electron_Affinity_of_M1,0.0013875222
d-band_center_of_M2,0.0013030586
m1_Mn,0.0011656479
Atomic_Weight_of_M2,0.0010265973
Atomic_Volume_of_N,0.00084798696
Number_of_valence_electrons_of_M2,0.0008023271
Difference_in_the_valence-electron_number_of_M1_and_M2,0.00072399527
Average_electronegativity_of_M1_and_M2,0.0007133936
Atomic_Volume_of_M1,0.00068251917
Covalent_Radius_of_M1,0.0006680848
Average_valence-electron_number_of_M1_and_M2,0.00057986745
Atomic_Volume_of_M2,0.00053349533
VanDer_Waals_Radius_of_M2,0.0005178478
m1_Fe,0.0005166319
m1_Ru,0.0005103244
Covalent_Radius_of_N,0.0005099505
Pauling_electronegativity_of_M1,0.0004868058
Thermal_Conductivity_of_M2,0.00048573478
Pauling_electronegativity_of_M2,0.00046621516
m2_Ru,0.00043509903
First_ionization_energy_of_M2,0.00033531024
m1_Co,0.00031731327
Thermal_Conductivity_of_M1,0.00026237444
Electrical_Conductivity_of_M2,0.00020889434
First_ionization_energy_of_N,0.00020212281
m2_Ni,0.00014115822
d-electron_number_of_M2,0.000116487
m2_Fe,0.00010619807
m2_Mn,0.000104674946
m1_Cr,9.86314e-05
m2_Co,0.0
m2_Cu,0.0
m2_Bi,0.0
m2_Ce,0.0
Pauling_electronegativity_of_N,0.0
m2_In,0.0
m2_La,0.0
m1_Ti,0.0
m2_Mo,0.0
m2_Pd,0.0
m2_Pt,0.0
m2_Sn,0.0
m2_**,0.0
m1_Ni,0.0
m1_Te,0.0
m1_Sn,0.0
m1_Se,0.0
m1_Pd,0.0
m1_Mo,0.0
m1_La,0.0
m1_Ir,0.0
m1_Dy,0.0
m1_Bi,0.0
m1_Ag,0.0
m1_**,0.0
VanDer_Waals_Radius_of_N,0.0
Number_of_valence_electrons_of_N,0.0
p-electron_number_of_N,0.0
Number_of_valence_electrons_of_M1,0.0
m2_V,0.0
