model,train_r2,test_r2,oof_r2,cv_mean_r2,cv_std_r2
xgboost,0.9744795972377026,0.884611455789141,0.884611455789141,0.8816607552880906,0.03315297806992198
gradientboosting,0.9750145654320301,0.879520537606556,0.879520537606556,0.8780569342378595,0.029113343883903024
rf,0.9699941271065933,0.8714692219427188,0.8714692219427188,0.8696557358089596,0.03347530811918082
extratrees,0.9701191717566396,0.8432552030483338,0.8432552030483338,0.8385535395675173,0.04492391928351118
svm,0.9233402573892218,0.7539519219710022,0.7539519219710022,0.7490147454905347,0.06744790777089833
elasticnet,0.7495242857782835,0.6610753382682291,0.6610753382682291,0.657694812831854,0.06221494464727586
lasso,0.7270612307478608,0.652583321408706,0.652583321408706,0.6501788760211871,0.06155021456790101
ridge,0.8282085656114084,0.5119973511575976,0.5119973511575976,0.4739788271002078,0.350021193401718
