model,cv_mean_r2,cv_std_r2,grid_best_score,best_params
xgboost,0.8816607552880906,0.03315297806992198,0.8816607552880906,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400, ""subsample"": 0.8}"
gradientboosting,0.8780569342378595,0.029113343883903024,0.8780569342378595,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400}"
rf,0.8696557358089596,0.03347530811918082,0.8696557358089596,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 500}"
extratrees,0.8385535395675173,0.04492391928351118,0.8385535395675173,"{""max_depth"": 10, ""min_samples_split"": 5, ""n_estimators"": 500}"
svm,0.7490147454905347,0.06744790777089833,0.7490147454905347,"{""reg__C"": 1, ""reg__epsilon"": 0.05, ""reg__gamma"": ""scale""}"
elasticnet,0.657694812831854,0.06221494464727586,0.657694812831854,"{""reg__alpha"": 0.01, ""reg__l1_ratio"": 0.8}"
lasso,0.6501788760211871,0.06155021456790101,0.6501788760211871,"{""reg__alpha"": 0.01}"
ridge,0.4739788271002078,0.350021193401718,0.4739788271002078,"{""reg__alpha"": 10.0}"
