Category,Min_Whisker ,25%_Quantile ,50%_Median,Mean,75%_Quantile ,Max_Whisker,Data_Count
Co-Ni,0.7893394,0.8431853652000427,1.0030349493026733,1.0284696,1.2362398505210876,1.3201207,19
Ni-Co,1.1131256,1.1172613501548767,1.1186399459838867,1.1377301,1.1222910284996033,1.11864,8
Co,0.86005366,1.024065613746643,1.1544040441513062,1.1480768,1.2585744857788086,1.4568018,53
Others,0.9922018,1.1696552634239197,1.2348068356513977,1.2254533,1.318751871585846,1.4898213,94
Ni,1.0555713,1.1366000771522522,1.2477150559425354,1.2398002,1.3629647195339203,1.4598731,26
