Category,mean,std,count,sem,ci95,is_best
Co-Ni,1.0286415,0.19600078,19,0.04496566384636921,0.08813270113888365,True
Ni-Co,1.1367991,0.06405308,8,0.022646183957013632,0.04438652055574672,False
Co,1.1482913,0.16960359,53,0.023296844247726194,0.04566181472554334,False
Others,1.2254475,0.11941544,94,0.012316762160214356,0.024140853834020138,False
Ni,1.2394935,0.13114363,26,0.02571938177552289,0.05040998828002486,False
