model,corrected_oof_r2,legacy_saved_oof_r2,delta_corrected_minus_legacy
rf,0.8387481090526604,0.871580683788745,-0.032832574736084585
gradientboosting,0.8328852538034952,0.8794003099888994,-0.04651505618540419
xgboost,0.8321667477563038,0.8840894360975063,-0.051922688341202505
extratrees,0.8078671653192672,0.8432384936001431,-0.03537132828087597
svm,0.7297256271663703,0.7539519219710029,-0.024226294804632564
elasticnet,0.6618903838807022,0.661075338268229,0.000815045612473253
lasso,0.6527898999804486,0.652583321408706,0.000206578571742555
ridge,0.5196684804255621,0.5119973511575966,0.007671129267965537
