Category,mean,std,count
Co-Ni,1.0242012619576706,0.17985403168911424,19
Ni-Co,1.1374117706598958,0.06340259991062122,8
Co,1.1498529554384793,0.1657621764227948,53
Others,1.2254867566515615,0.11677016389582316,94
Ni,1.238951850942817,0.1317132431679044,26
