model,train_r2,test_r2,oof_r2,cv_mean_r2,cv_std_r2
rf,0.9134091163655568,0.8387481090526604,0.8387481090526604,0.834250982303374,0.03185787366549128
gradientboosting,0.9137628277085885,0.8328852538034952,0.8328852538034952,0.8286795412701933,0.030290967525178968
xgboost,0.9136585953224493,0.8321667477563038,0.8321667477563038,0.8283157277065996,0.03600884835277732
extratrees,0.9201962199822021,0.8078671653192672,0.8078671653192672,0.8012310164396267,0.04923571560136158
svm,0.8977001049800231,0.7297256271663703,0.7297256271663703,0.7229491305367782,0.06525166490048416
elasticnet,0.749136140650319,0.6618903838807021,0.6618903838807021,0.6584907510111844,0.06273285569865734
lasso,0.7269441608321416,0.6527898999804485,0.6527898999804485,0.6503806026601762,0.061675639426070565
ridge,0.8260637600110359,0.5196684804255588,0.5196684804255588,0.4780372037022638,0.38120884891826695
