Category,Min_Whisker ,25%_Quantile ,50%_Median,Mean,75%_Quantile ,Max_Whisker,Data_Count
Co-Ni,0.9034826010723541,0.9034826010723541,0.9034826010723541,1.0242012619576708,1.2231604627025692,1.304782685425684,19
Ni-Co,1.114995566489067,1.114995566489067,1.114995566489067,1.137411770659896,1.114995566489067,1.114995566489067,8
Co,0.8869279113650246,1.0135683864357854,1.0853403015873022,1.149852955438479,1.265540696481622,1.4306369852500425,53
Others,0.9537043309109208,1.149579201055309,1.23464008276446,1.2254867566515615,1.3086410102952593,1.4549267387057387,94
Ni,1.0320011026870588,1.13645103246753,1.2466442846459098,1.238951850942817,1.3703701437843185,1.425163486249043,26
