Category,mean,std,count,sem,ci95,is_best
Co-Ni,1.0242012619576706,0.17985403168911424,19,0.04126134466953741,0.08087223555229332,True
Ni-Co,1.1374117706598958,0.06340259991062122,8,0.022416204170828926,0.043935760174824694,False
Co,1.1498529554384793,0.1657621764227948,53,0.02276918603479718,0.04462760462820247,False
Others,1.2254867566515615,0.11677016389582316,94,0.012043922797127349,0.023606088682369603,False
Ni,1.238951850942817,0.1317132431679044,26,0.025831092196605236,0.05062894070534626,False
