DOI,data_source,Compounds(M1-M2-N),Original_Compounds,Current_density(mA/g),Limited_specific_capacity(mAh/g),Current_density(mA/g).1,Limited_specific_capacity(mAh/g).1,Overpotential(V),Atomic_Weight_of_M1,Atomic_Weight_of_M2,Atomic_Weight_of_N,Covalent_Radius_of_M1,Covalent_Radius_of_M2,Covalent_Radius_of_N,VanDer_Waals_Radius_of_M1,VanDer_Waals_Radius_of_M2,VanDer_Waals_Radius_of_N,Atomic_Volume_of_M1,Atomic_Volume_of_M2,Atomic_Volume_of_N,Electron_Affinity_of_M1,Electron_Affinity_of_M2,Electron_Affinity_of_N,d-electron_number_of_M1,d-electron_number_of_M2,p-electron_number_of_N,Difference_in_the_d-electron_number_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,Number_of_valence_electrons_of_M1,Number_of_valence_electrons_of_M2,Number_of_valence_electrons_of_N,Difference_in_the_valence-electron_number_of_M1_and_M2,Average_valence-electron_number_of_M1_and_M2,First_ionization_energy_of_M1,First_ionization_energy_of_M2,First_ionization_energy_of_N,Difference_in_the_First_ionization_energy_of_metals,Electrical_Conductivity_of_M1,Electrical_Conductivity_of_M2,Thermal_Conductivity_of_M1,Thermal_Conductivity_of_M2,Pauling_electronegativity_of_M1,Pauling_electronegativity_of_M2,Pauling_electronegativity_of_N,Difference_in_the_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_N,Average_electronegativity_of_M2_and_N,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,d-band_center_of_M1,d-band_center_of_M2,Cycling_performance
https://doi.org/10.1016/j.cej.2023.143351,357,Mo-Mn-S,Mn-MoS2,200,1000,100,1000,1.23,95.95,54.938,32.06,139,139,102,209,197,180,9.38,7.39,15.5,72,50,200.4,5,5,4,0,5,6,7,6,-1,6.5,684.3,717.3,999.6,-33,18700000,695000,138,7.81,2.16,1.55,2.58,0.61,1.855,2.37,2.065,2.096666667,7.75,12.9,10.325,1390,-1.6,-1.6,60
https://doi.org/10.1002/adfm.202209876,358,Mo-**-P,MoO2/MoP/Mo3P?,500,500,100,500,1.18,95.95,none,30.974,139,none,107,209,none,180,9.38,none,17,72,none,72,5,none,3,none,none,6,none,5,none,none,684.3,none,1011.8,none,18700000,none,138,none,2.16,none,2.19,none,none,2.175,none,none,none,10.95,none,none,-1.6,none,95
https://doi.org/10.1002/smll.202106707,361,Ni-**-P,Ni2P,500,1000,800,1000,1.42,58.693,none,30.974,115,none,107,163,none,180,6.59,none,17,112,none,72,8,none,3,none,none,10,none,5,none,none,737.1,none,1011.8,none,14400000,none,91.4,none,1.91,none,2.19,none,none,2.05,none,none,none,17.52,none,none,-1.4,none,190
https://doi.org/10.1021/acsaem.3c02592,365,Co-**-N,CoSA-CN,200,500,200,500,0.98,58.933,none,14.007,116,none,75,192,none,155,6.71,none,17.3,63,none,-7,7,none,3,none,none,9,none,5,none,none,760.4,none,1402.3,none,17200000,none,100,none,1.88,none,3.04,none,none,2.46,none,none,none,21.28,none,none,-1.3,none,120
https://doi.org/10.1002/aenm.202204057,375,Co-Ni-S,NiS2-CoS2@NC,500,1000,500,1000,1.3,58.933,58.693,32.06,116,115,102,192,163,180,6.71,6.59,15.5,63,112,200.4,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,999.6,23.3,17200000,14400000,100,91.4,1.88,1.91,2.58,-0.03,1.895,2.23,2.245,2.123333333,13.37,18.06,15.715,1890,-1.3,-1.4,230
https://doi.org/10.1002/aenm.202204057,375,Ni-**-S,NiS2,500,1000,500,1000,1.4,58.693,none,32.06,115,none,102,163,none,180,6.59,none,15.5,112,none,200.4,8,none,4,none,none,10,none,6,none,none,737.1,none,999.6,none,14400000,none,91.4,none,1.91,none,2.58,none,none,2.245,none,none,none,20.64,none,none,-1.4,none,148
https://doi.org/10.1002/aenm.202204057,375,Co-**-S,CoS2,500,500,500,500,1.5,58.933,none,32.06,116,none,102,192,none,180,6.71,none,15.5,63,none,200.4,7,none,4,none,none,9,none,6,none,none,760.4,none,999.6,none,17200000,none,100,none,1.88,none,2.58,none,none,2.23,none,none,none,18.06,none,none,-1.3,none,90
https://doi.org/10.1021/acs.nanolett.3c03025,379,Co-**-O,S-Co3O4,200,500,200,500,1.1,58.933,none,15.999,116,none,73,192,none,152,6.71,none,14,63,none,141,7,none,4,none,none,9,none,6,none,none,760.4,none,1313.9,none,17200000,none,100,none,1.88,none,3.44,none,none,2.66,none,none,none,24.08,none,none,-1.3,none,140
https://doi.org/10.1021/acs.nanolett.3c03025,379,Co-**-O,M-Co3O4,200,500,200,500,1.15,58.933,none,15.999,116,none,73,192,none,152,6.71,none,14,63,none,141,7,none,4,none,none,9,none,6,none,none,760.4,none,1313.9,none,17200000,none,100,none,1.88,none,3.44,none,none,2.66,none,none,none,24.08,none,none,-1.3,none,89
https://sioc-journal.cn/Jwk_hxxb/EN/10.6023/A22050206,381,Ni-Co-O,Li0.30MO,100,800,100,800,1.08,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,140
https://doi.org/10.1016/j.jcis.2026.140244,382,Co-Fe-N,ZnFe-NC/CoS2,500,1000,100,1000,1.04,58.933,55.845,14.007,116,115,75,192,194,155,6.71,7.11,17.3,63,15,-7,7,6,3,1,6.5,9,8,5,1,8.5,760.4,762.5,1402.3,-2.1,17200000,10000000,100,80.4,1.88,1.83,3.04,0.05,1.855,2.46,2.435,2.25,12.81,21.28,17.045,1890,-1.3,-1.45,325
https://doi.org/10.1016/j.jechem.2026.01.056,383,Ti-Co-O,CoTiO,1000,600,1000,600,1.25,47.867,58.933,15.999,136,116,73,187,192,152,10.64,6.71,14,7.6,63,141,2,7,4,-5,4.5,4,9,6,-5,6.5,658.8,760.4,1313.9,-101.6,2340000,17200000,21.9,100,1.54,1.88,3.44,-0.34,1.71,2.49,2.66,2.286666667,3.76,6.88,5.32,504,-2.2,-1.3,118
https://doi.org/10.1002/smll.202512953,389,La-Ni-O,La0.7EDTA,100,500,100,500,1.25,138.91,58.693,15.999,169,115,73,240,163,152,22.6,6.59,14,48,112,141,1,8,4,-7,4.5,3,10,6,-7,6.5,538.1,737.1,1313.9,-199,1340000,14400000,13.4,91.4,1.1,1.91,3.44,-0.81,1.505,2.27,2.675,2.15,1.91,3.44,2.675,284,none,-1.4,121
https://doi.org/10.1002/smll.202512953,389,La-Fe-O,La0.7,200,250,200,250,1.39,138.91,55.845,15.999,169,115,73,240,194,152,22.6,7.11,14,48,15,141,1,6,4,-5,3.5,3,8,6,-5,5.5,538.1,762.5,1313.9,-224.4,1340000,10000000,13.4,80.4,1.1,1.83,3.44,-0.73,1.465,2.27,2.635,2.123333333,1.83,3.44,2.635,284,none,-1.45,112
https://doi.org/10.1002/smll.202512953,389,La-Fe-O,La1,200,250,200,250,1.45,138.91,55.845,15.999,169,115,73,240,194,152,22.6,7.11,14,48,15,141,1,6,4,-5,3.5,3,8,6,-5,5.5,538.1,762.5,1313.9,-224.4,1340000,10000000,13.4,80.4,1.1,1.83,3.44,-0.73,1.465,2.27,2.635,2.123333333,1.83,3.44,2.635,284,none,-1.45,66
https://doi.org/10.1002/advs.202522315,399,Ti-**-C,Ti3C2Tx-FePc,200,500,200,500,1,47.867,none,12.011,136,none,76,187,none,170,10.64,none,5.29,7.6,none,121.8,2,none,0,none,none,4,none,4,none,none,658.8,none,1086.5,none,2340000,none,21.9,none,1.54,none,2.55,none,none,2.045,none,none,none,5.1,none,none,-2.2,none,124
https://doi.org/10.1016/j.electacta.2025.147671,403,Ni-Fe-O,NiFe-LDH/Ni?.?Fe?.?O?,500,500,500,500,1.15,58.693,55.845,15.999,115,115,73,163,194,152,6.59,7.11,14,112,15,141,8,6,4,2,7,10,8,6,2,9,737.1,762.5,1313.9,-25.4,14400000,10000000,91.4,80.4,1.91,1.83,3.44,0.08,1.87,2.675,2.635,2.393333333,14.64,27.52,21.08,1840,-1.4,-1.45,195
https://doi.org/10.1021/acsaem.5c03033,405,Fe-Mn-O,Fe-MnO2/SWCNT electrode,200,500,200,500,1.25,55.845,54.938,15.999,115,139,73,194,197,152,7.11,7.39,14,15,50,141,6,5,4,1,5.5,8,7,6,1,7.5,762.5,717.3,1313.9,45.2,10000000,695000,80.4,7.81,1.83,1.55,3.44,0.28,1.69,2.635,2.495,2.273333333,9.3,20.64,14.97,1524,-1.45,-1.6,100
https://doi.org/10.1021/acsanm.5c04476,406,Co-**-N,CoNPs-NC,500,500,200,1000,1.04,58.933,none,14.007,116,none,75,192,none,155,6.71,none,17.3,63,none,-7,7,none,3,none,none,9,none,5,none,none,760.4,none,1402.3,none,17200000,none,100,none,1.88,none,3.04,none,none,2.46,none,none,none,21.28,none,none,-1.3,none,126
https://doi.org/10.1021/acsanm.5c04476,406,Mo-**-S,MoS2,500,500,200,1000,1.25,95.95,none,32.06,139,none,102,209,none,180,9.38,none,15.5,72,none,200.4,5,none,4,none,none,6,none,6,none,none,684.3,none,999.6,none,18700000,none,138,none,2.16,none,2.58,none,none,2.37,none,none,none,12.9,none,none,-1.6,none,81
https://doi.org/10.1088/2631-6331/ae1925,408,**-**-C,PCE-Nano (多孔碳),100,500,100,500,1.3,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,75
https://doi.org/10.1002/anie.202521423,410,Ru-**-N,Ru SACs/rGO,100,1000,100,1000,1.2,101.07,none,14.007,126,none,75,207,none,155,8.3,none,17.3,101.3,none,-7,7,none,3,none,none,8,none,5,none,none,710.2,none,1402.3,none,13700000,none,117,none,2.2,none,3.04,none,none,2.62,none,none,none,21.28,none,none,-1.2,none,40
https://doi.org/10.1080/1536383X.2025.2583369,414,Cr-**-O,p-r-Cr2O3/CNT,200,500,200,500,1.3,51.996,none,15.999,135,none,73,189,none,152,7.23,none,14,64.3,none,141,5,none,4,none,none,6,none,6,none,none,652.9,none,1313.9,none,7670000,none,93.7,none,1.66,none,3.44,none,none,2.55,none,none,none,17.2,none,none,-1.7,none,40
https://doi.org/10.1002/anie.202520097,415,Co-**-O,Co??-doped Li?O? under magnetic field,3300,1000,3300,1000,1.2,58.933,none,15.999,116,none,73,192,none,152,6.71,none,14,63,none,141,7,none,4,none,none,9,none,6,none,none,760.4,none,1313.9,none,17200000,none,100,none,1.88,none,3.44,none,none,2.66,none,none,none,24.08,none,none,-1.3,none,350
https://doi.org/10.1016/j.jcis.2025.139355,416,Co-Ni-O,"Ni, Mn-Co3O4",500,500,500,500,0.8,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,850
https://doi.org/10.1016/j.jcis.2025.139355,416,Co-Ni-O,Ni-Co3O4,500,500,500,500,0.83,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,594
https://doi.org/10.1021/acsnano.5c10218,423,Co-Ru-O,RuCoO?@HCNs,200,500,200,500,0.96,58.933,101.07,15.999,116,126,73,192,207,152,6.71,8.3,14,63,101.3,141,7,7,4,0,7,9,8,6,1,8.5,760.4,710.2,1313.9,50.2,17200000,13700000,100,117,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967,-1.3,-1.2,440
https://doi.org/10.1021/acsnano.5c10218,423,Co-**-O,Co?O?@HCNs,200,500,200,500,1.18,58.933,none,15.999,116,none,73,192,none,152,6.71,none,14,63,none,141,7,none,4,none,none,9,none,6,none,none,760.4,none,1313.9,none,17200000,none,100,none,1.88,none,3.44,none,none,2.66,none,none,none,24.08,none,none,-1.3,none,300
https://doi.org/10.1002/aoc.70327,425,**-**-C,N-CNTs,50,300,50,300,1.41,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,31
https://doi.org/10.1021/acs.langmuir.5c02644,430,Co-Cu-O,Co3O4@CuCo2O4,400,1000,400,1000,1.1,58.933,63.55,15.999,116,132,73,192,140,152,6.71,7.11,14,63,118.4,141,7,10,4,-3,8.5,9,11,6,-2,10,760.4,745.5,1313.9,14.9,17200000,59600000,100,401,1.88,1.9,3.44,-0.02,1.89,2.66,2.67,2.406666667,13.3,24.08,18.69,1736,-1.3,-2.67,146
https://doi.org/10.1016/j.electacta.2025.146925,434,Ru-**-O,C-AB@RuO2-1,200,250,200,250,1.1,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,212
https://doi.org/10.1016/j.jcis.2025.138454,435,Co-Fe-O,FeCo2O4 nanowires (with magnetic field),100,500,100,500,0.89,58.933,55.845,15.999,116,115,73,192,194,152,6.71,7.11,14,63,15,141,7,6,4,1,6.5,9,8,6,1,8.5,760.4,762.5,1313.9,-2.1,17200000,10000000,100,80.4,1.88,1.83,3.44,0.05,1.855,2.66,2.635,2.383333333,12.81,24.08,18.445,1890,-1.3,-1.45,150
https://doi.org/10.1038/s41598-025-11449-1,436,Co-Ru-O,Co3O4/RuO2,500,1000,500,1000,0.998,58.933,101.07,15.999,116,126,73,192,207,152,6.71,8.3,14,63,101.3,141,7,7,4,0,7,9,8,6,1,8.5,760.4,710.2,1313.9,50.2,17200000,13700000,100,117,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967,-1.3,-1.2,387
https://doi.org/10.1002/anie.202509132,437,Co-Ni-O,LB-HEO（Cr、Mn、Co、Ni、Zn、O）,100,1000,100,1000,0.94,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,135
https://doi.org/10.1016/j.jpowsour.2025.237653,441,Co-**-N,3DOH-Co@NC（钴纳米颗粒嵌入氮掺杂碳）,500,1000,500,1000,1.15,58.933,none,14.007,116,none,75,192,none,155,6.71,none,17.3,63,none,-7,7,none,3,none,none,9,none,5,none,none,760.4,none,1402.3,none,17200000,none,100,none,1.88,none,3.04,none,none,2.46,none,none,none,21.28,none,none,-1.3,none,180
https://doi.org/10.1021/acs.iecr.5c01518,442,Mo-Fe-S,C/MoS2-FeS-MoC,500,1000,100,1000,1.18,95.95,55.845,32.06,139,115,102,209,194,180,9.38,7.11,15.5,72,15,200.4,5,6,4,-1,5.5,6,8,6,-2,7,684.3,762.5,999.6,-78.2,18700000,10000000,138,80.4,2.16,1.83,2.58,0.33,1.995,2.37,2.205,2.19,9.15,12.9,11.025,1270,-1.6,-1.45,83
https://doi.org/10.1021/acs.iecr.5c01518,442,Mo-**-S,C/MoS2,500,1000,100,1000,1.25,95.95,none,32.06,139,none,102,209,none,180,9.38,none,15.5,72,none,200.4,5,none,4,none,none,6,none,6,none,none,684.3,none,999.6,none,18700000,none,138,none,2.16,none,2.58,none,none,2.37,none,none,none,12.9,none,none,-1.6,none,14
https://doi.org/10.1016/j.carbon.2025.120482,447,Ru-**-N,RPC@700,200,1000,200,1000,1.25,101.07,none,14.007,126,none,75,207,none,155,8.3,none,17.3,101.3,none,-7,7,none,3,none,none,8,none,5,none,none,710.2,none,1402.3,none,13700000,none,117,none,2.2,none,3.04,none,none,2.62,none,none,none,21.28,none,none,-1.2,none,151
https://doi.org/10.1093/nsr/nwaf145,450,Co-**-O,Co-l-TCNTs（Co、C、O）,400,1000,100,1000,1.24,58.933,none,15.999,116,none,73,192,none,152,6.71,none,14,63,none,141,7,none,4,none,none,9,none,6,none,none,760.4,none,1313.9,none,17200000,none,100,none,1.88,none,3.44,none,none,2.66,none,none,none,24.08,none,none,-1.3,none,80
https://doi.org/10.1016/j.jcis.2025.137782,452,**-**-C,LCMF （C）,100,500,100,500,1.36,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,26
https://doi.org/10.1016/j.cej.2025.162908,457,Co-Ni-P,P-NiCo2S4（P掺杂）,200,1000,200,1000,1.3,58.933,58.693,30.974,116,115,107,192,163,180,6.71,6.59,17,63,112,72,7,8,3,-1,7.5,9,10,5,-1,9.5,760.4,737.1,1011.8,23.3,17200000,14400000,100,91.4,1.88,1.91,2.19,-0.03,1.895,2.035,2.05,1.993333333,13.37,15.33,14.35,1890,-1.3,-1.4,73
https://doi.org/10.1016/j.cej.2025.162908,457,Co-Ni-S,NiCo2S4,200,1000,200,1000,1.35,58.933,58.693,32.06,116,115,102,192,163,180,6.71,6.59,15.5,63,112,200.4,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,999.6,23.3,17200000,14400000,100,91.4,1.88,1.91,2.58,-0.03,1.895,2.23,2.245,2.123333333,13.37,18.06,15.715,1890,-1.3,-1.4,57
https://doi.org/10.1016/j.cej.2025.162908,457,Co-Ni-P,P-NiCo2S4,500,600,500,600,1.3,58.933,58.693,30.974,116,115,107,192,163,180,6.71,6.59,17,63,112,72,7,8,3,-1,7.5,9,10,5,-1,9.5,760.4,737.1,1011.8,23.3,17200000,14400000,100,91.4,1.88,1.91,2.19,-0.03,1.895,2.035,2.05,1.993333333,13.37,15.33,14.35,1890,-1.3,-1.4,150
https://doi.org/10.1016/j.cej.2025.162420,458,Co-Pt-O,Pt?-Co?O?,100,500,100,2000,0.86,58.933,195.08,15.999,116,136,73,192,175,152,6.71,9.1,14,63,205.3,141,7,9,4,-2,8,9,10,6,-1,9.5,760.4,870.8,1313.9,-110.4,17200000,94000000,100,71.6,1.88,2.28,3.44,-0.4,2.08,2.66,2.86,2.533333333,15.96,24.08,20.02,1918,-1.3,-2.2,220
https://doi.org/10.1039/d5nr00300h,459,Co-Ni-O,PtFeCoNiCu@rGO,100,500,100,500,0.77,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,148
https://doi.org/10.1039/d5nr00300h,459,**-**-C,SP,100,500,100,500,1.29,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,13
https://doi.org/10.1021/jacs.4c15230,463,Ru-**-O,RuO? catalyst (without TBPA),500,1000,500,1000,1.1,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,150
https://doi.org/10.1002/celc.202400626,470,**-**-C,K3T1 (KB:MWCNTs= 3:1),100,500,100,500,1.4,none,none,12.011,none,none,76,none,none,170,none,none,5.29,none,none,121.8,none,none,0,none,none,none,none,4,none,none,none,none,1086.5,none,none,none,none,none,none,none,2.55,none,none,none,none,none,none,none,none,none,none,none,31
https://doi.org/10.1016/j.esci.2024.100310,477,Ni-**-N,Ni2-N/rGO,200,500,200,500,1.08,58.693,none,14.007,115,none,75,163,none,155,6.59,none,17.3,112,none,-7,8,none,3,none,none,10,none,5,none,none,737.1,none,1402.3,none,14400000,none,91.4,none,1.91,none,3.04,none,none,2.475,none,none,none,24.32,none,none,-1.4,none,225
https://doi.org/10.1016/j.esci.2024.100310,477,Ni-**-N,Ni2-N/rGO,500,500,500,500,1.1,58.693,none,14.007,115,none,75,163,none,155,6.59,none,17.3,112,none,-7,8,none,3,none,none,10,none,5,none,none,737.1,none,1402.3,none,14400000,none,91.4,none,1.91,none,3.04,none,none,2.475,none,none,none,24.32,none,none,-1.4,none,300
https://doi.org/10.1002/smll.202406516,478,Ru-**-O,Pt/C+RuO2,200,500,200,500,1.2,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,108
https://doi.org/10.1002/anie.202418893,483,Fe-**-N,Fe/N/C,200,1000,200,1000,1.3,55.845,none,14.007,115,none,75,194,none,155,7.11,none,17.3,15,none,-7,6,none,3,none,none,8,none,5,none,none,762.5,none,1402.3,none,10000000,none,80.4,none,1.83,none,3.04,none,none,2.435,none,none,none,18.24,none,none,-1.45,none,30
https://doi.org/10.1016/j.electacta.2024.145384,489,Co-Fe-O,CoFe-LDH(CoFeO),500,500,500,1000,1.01,58.933,55.845,15.999,116,115,73,192,194,152,6.71,7.11,14,63,15,141,7,6,4,1,6.5,9,8,6,1,8.5,760.4,762.5,1313.9,-2.1,17200000,10000000,100,80.4,1.88,1.83,3.44,0.05,1.855,2.66,2.635,2.383333333,12.81,24.08,18.445,1890,-1.3,-1.45,93
https://doi.org/10.1007/s10008-024-06115-x,494,Fe-**-O,Fe2O3,100,500,100,500,1.4,55.845,none,15.999,115,none,73,194,none,152,7.11,none,14,15,none,141,6,none,4,none,none,8,none,6,none,none,762.5,none,1313.9,none,10000000,none,80.4,none,1.83,none,3.44,none,none,2.635,none,none,none,20.64,none,none,-1.45,none,40
https://doi.org/10.1002/aenm.202402925,495,La-Fe-O,L0.80FCCO,200,500,200,500,1.4,138.91,55.845,15.999,169,115,73,240,194,152,22.6,7.11,14,48,15,141,1,6,4,-5,3.5,3,8,6,-5,5.5,538.1,762.5,1313.9,-224.4,1340000,10000000,13.4,80.4,1.1,1.83,3.44,-0.73,1.465,2.27,2.635,2.123333333,1.83,3.44,2.635,284,none,-1.45,34
https://doi.org/10.1002/aenm.202402925,495,Fe-La-O,L0.75FCCO,200,500,200,500,1.28,55.845,138.91,15.999,115,169,73,194,240,152,7.11,22.6,14,15,48,141,6,1,4,5,3.5,8,3,6,5,5.5,762.5,538.1,1313.9,224.4,10000000,1340000,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704,-1.45,none,21
https://doi.org/10.1002/aenm.202402925,495,Fe-La-O,L0.70FCCO,200,500,200,500,1.3,55.845,138.91,15.999,115,169,73,194,240,152,7.11,22.6,14,15,48,141,6,1,4,5,3.5,8,3,6,5,5.5,762.5,538.1,1313.9,224.4,10000000,1340000,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704,-1.45,none,38
https://doi.org/10.1021/acs.energyfuels.4c04356,498,Co-Ru-O,RuO2@Co3O4,250,500,250,500,0.94,58.933,101.07,15.999,116,126,73,192,207,152,6.71,8.3,14,63,101.3,141,7,7,4,0,7,9,8,6,1,8.5,760.4,710.2,1313.9,50.2,17200000,13700000,100,117,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967,-1.3,-1.2,245
https://doi.org/10.1002/smll.202406525,502,Mn-**-O,MnO,500,1000,100,1000,1.25,54.938,none,15.999,139,none,73,197,none,152,7.39,none,14,50,none,141,5,none,4,none,none,7,none,6,none,none,717.3,none,1313.9,none,695000,none,7.81,none,1.55,none,3.44,none,none,2.495,none,none,none,17.2,none,none,-1.6,none,55
https://doi.org/10.1016/j.jpowsour.2024.235394,507,Co-Ru-N,Ru@ZIF-67-280,200,500,200,500,0.95,58.933,101.07,14.007,116,126,75,192,207,155,6.71,8.3,17.3,63,101.3,-7,7,7,3,0,7,9,8,5,1,8.5,760.4,710.2,1402.3,50.2,17200000,13700000,100,117,1.88,2.2,3.04,-0.32,2.04,2.46,2.62,2.373333333,15.4,21.28,18.34,1967,-1.3,-1.2,272
https://doi.org/10.1016/j.jpowsour.2024.235394,507,Co-**-N,ZIF-67-280,200,500,200,500,1,58.933,none,14.007,116,none,75,192,none,155,6.71,none,17.3,63,none,-7,7,none,3,none,none,9,none,5,none,none,760.4,none,1402.3,none,17200000,none,100,none,1.88,none,3.04,none,none,2.46,none,none,none,21.28,none,none,-1.3,none,100
https://doi.org/10.1002/cey2.587,508,Fe-**-N,FePc ,100,1000,100,1000,1.35,55.845,none,14.007,115,none,75,194,none,155,7.11,none,17.3,15,none,-7,6,none,3,none,none,8,none,5,none,none,762.5,none,1402.3,none,10000000,none,80.4,none,1.83,none,3.04,none,none,2.435,none,none,none,18.24,none,none,-1.45,none,20
https://doi.org/10.1002/cey2.550,509,Cr-V-O,P-LSCr NWs (La0.8Sr0.2CrO3),500,1000,500,1000,1.25,51.996,50.942,15.999,135,131,73,189,192,152,7.23,8.35,14,64.3,50.6,141,5,3,4,2,4,6,5,6,1,5.5,652.9,650.9,1313.9,2,7670000,4890000,93.7,30.7,1.66,1.63,3.44,0.03,1.645,2.55,2.535,2.243333333,8.15,17.2,12.675,1330,-1.7,-1.8,83
https://doi.org/10.1039/d4sc03242j,517,Ru-**-O,RuO?,500,2000,500,500,1.1,101.07,none,15.999,126,none,73,207,none,152,8.3,none,14,101.3,none,141,7,none,4,none,none,8,none,6,none,none,710.2,none,1313.9,none,13700000,none,117,none,2.2,none,3.44,none,none,2.82,none,none,none,24.08,none,none,-1.2,none,111
https://doi.org/10.1016/j.est.2024.112780,519,Ni-Co-P,NiCoP@PNCF,200,500,200,500,1.3,58.693,58.933,30.974,115,116,107,163,192,180,6.59,6.71,17,112,63,72,8,7,3,1,7.5,10,9,5,1,9.5,737.1,760.4,1011.8,-23.3,14400000,17200000,91.4,100,1.91,1.88,2.19,0.03,1.895,2.05,2.035,1.993333333,15.04,17.52,16.28,1848,-1.4,-1.3,242
https://doi.org/10.1016/j.est.2024.112780,519,Co-**-P,CoP@PNCF,200,500,200,500,1.45,58.933,none,30.974,116,none,107,192,none,180,6.71,none,17,63,none,72,7,none,3,none,none,9,none,5,none,none,760.4,none,1011.8,none,17200000,none,100,none,1.88,none,2.19,none,none,2.035,none,none,none,15.33,none,none,-1.3,none,196
https://doi.org/10.1016/j.jcis.2024.06.137,522,Mo-Ni-S,NiS/MoS2,200,500,200,500,1.25,95.95,58.693,32.06,139,115,102,209,163,180,9.38,6.59,15.5,72,112,200.4,5,8,4,-3,6.5,6,10,6,-4,8,684.3,737.1,999.6,-52.8,18700000,14400000,138,91.4,2.16,1.91,2.58,0.25,2.035,2.37,2.245,2.216666667,9.55,12.9,11.225,1270,-1.6,-1.4,163
