record_id,tSNE_1,tSNE_2,Overpotential(V)
R0167,-163.74628,197.49559,1.3
R0168,176.79329,-99.46102,1.01
R0169,0.47984633,203.574,1.4
R0170,-51.00901,-88.374016,1.4
R0171,236.37842,-202.01558,1.28
R0172,236.37842,-202.01558,1.3
R0173,148.05598,-18.28321,0.94
R0174,64.87954,177.22424,1.25
R0175,164.90877,33.258682,0.95
R0176,-197.41911,178.42888,1.0
R0177,-184.18071,213.59149,1.35
R0178,163.4116,-141.60037,1.25
R0179,-96.83076,80.29928,1.1
R0180,105.30486,-237.26013,1.3
R0181,-265.23212,-36.261517,1.45
R0182,44.938507,-199.73778,1.25
R0183,-240.38994,-106.35879,1.4
R0184,-240.38994,-106.35879,1.45
R0185,248.83234,-22.688272,1.2
R0186,0.47984633,203.574,1.4
R0187,-265.23212,-36.261517,1.38
R0188,69.4778,-94.52279,1.2
R0189,-176.79419,128.2049,1.3
R0190,-177.41162,-56.39014,1.3
R0191,-177.41162,-56.39014,1.25
R0192,108.98261,-183.66203,1.25
R0193,164.90877,33.258682,0.95
R0194,64.50615,-63.5648,1.22
R0195,64.50615,-63.5648,1.32
R0196,127.77645,-60.726074,0.84
R0197,-62.124943,111.39994,1.11
R0198,221.0099,46.505623,1.05
R0199,-155.04518,147.78876,1.17
R0200,-215.39565,85.07854,1.12
